"caseID","timeStamp","userID","targetApp","eventType","url","content","target.workbookName","target.sheetName","target.id","target.class","target.tagName","target.type","target.name","target.value","target.innerText","target.checked","target.href","target.option","target.title","target.innerHTML"
"1","2019-10-21T00:10:48.760Z","vleno","Excel","copyCell","","jdoe@gmail.com","StudentRecords.xlsx","Sheet1","E2","","","","","jdoe@gmail.com","","","","","",""
"1","2019-10-21T00:10:51.008Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","jdoe@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"1","2019-10-21T00:10:51.545Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","jdoe@gmail.com","","","","","",""
"1","2019-10-21T00:11:37.513Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"2","2019-10-21T00:12:44.394Z","vleno","Excel","copyCell","","arauf@gmail.com","StudentRecords.xlsx","Sheet1","E3","","","","","arauf@gmail.com","","","","","",""
"2","2019-10-21T00:12:50.408Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","arauf@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"2","2019-10-21T00:12:50.889Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","arauf@gmail.com","","","","","",""
"2","2019-10-21T00:13:29.824Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"3","2019-10-21T00:14:58.962Z","vleno","Excel","copyCell","","srichards@gmail.com","StudentRecords.xlsx","Sheet1","E4","","","","","srichards@gmail.com","","","","","",""
"3","2019-10-21T00:15:00.776Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","srichards@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"3","2019-10-21T00:15:01.145Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","srichards@gmail.com","","","","","",""
"3","2019-10-21T00:15:07.071Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"4","2019-10-21T00:15:42.908Z","vleno","Excel","copyCell","","gdubois@gmail.com","StudentRecords.xlsx","Sheet1","E5","","","","","gdubois@gmail.com","","","","","",""
"4","2019-10-21T00:15:46.641Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","gdubois@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"4","2019-10-21T00:15:47.042Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","gdubois@gmail.com","","","","","",""
"4","2019-10-21T00:16:25.322Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"5","2019-10-21T00:16:59.233Z","vleno","Excel","copyCell","","abacker@gmail.com","StudentRecords.xlsx","Sheet1","E6","","","","","abacker@gmail.com","","","","","",""
"5","2019-10-21T00:17:01.282Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","abacker@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"5","2019-10-21T00:17:01.619Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","abacker@gmail.com","","","","","",""
"5","2019-10-21T00:17:40.080Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"6","2019-10-21T00:18:18.154Z","vleno","Excel","copyCell","","cgustafsson@gmail.com","StudentRecords.xlsx","Sheet1","E7","","","","","cgustafsson@gmail.com","","","","","",""
"6","2019-10-21T00:18:19.776Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","cgustafsson@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"6","2019-10-21T00:18:20.073Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","cgustafsson@gmail.com","","","","","",""
"6","2019-10-21T00:18:53.930Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"7","2019-10-21T00:19:25.951Z","vleno","Excel","copyCell","","sjohnson@gmail.com","StudentRecords.xlsx","Sheet1","E8","","","","","sjohnson@gmail.com","","","","","",""
"7","2019-10-21T00:19:29.049Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","sjohnson@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"7","2019-10-21T00:19:29.442Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","sjohnson@gmail.com","","","","","",""
"7","2019-10-21T00:20:04.147Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"8","2019-10-21T00:20:37.819Z","vleno","Excel","copyCell","","abolzano@gmail.com","StudentRecords.xlsx","Sheet1","E9","","","","","abolzano@gmail.com","","","","","",""
"8","2019-10-21T00:20:39.953Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","abolzano@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"8","2019-10-21T00:20:40.362Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","abolzano@gmail.com","","","","","",""
"8","2019-10-21T00:21:17.165Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"9","2019-10-21T00:21:53.525Z","vleno","Excel","copyCell","","hdietmeier@gmail.com","StudentRecords.xlsx","Sheet1","E10","","","","","hdietmeier@gmail.com","","","","","",""
"9","2019-10-21T00:21:56.201Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","hdietmeier@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"9","2019-10-21T00:21:56.976Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","hdietmeier@gmail.com","","","","","",""
"9","2019-10-21T00:22:44.002Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"10","2019-10-21T00:23:15.957Z","vleno","Excel","copyCell","","ihonchar@gmail.com","StudentRecords.xlsx","Sheet1","E11","","","","","ihonchar@gmail.com","","","","","",""
"10","2019-10-21T00:23:21.769Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","ihonchar@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"10","2019-10-21T00:23:22.466Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","ihonchar@gmail.com","","","","","",""
"10","2019-10-21T00:24:03.341Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"20","2019-10-21T00:35:28.200Z","vleno","Excel","copyCell","","anickolson@gmail.com","StudentRecords.xlsx","Sheet1","E21","","","","","anickolson@gmail.com","","","","","",""
"20","2019-10-21T00:35:29.745Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","anickolson@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"20","2019-10-21T00:35:30.018Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","anickolson@gmail.com","","","","","",""
"20","2019-10-21T00:36:01.106Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"30","2019-10-21T00:48:17.098Z","vleno","Excel","copyCell","","clin@gmail.com","StudentRecords.xlsx","Sheet1","E31","","","","","clin@gmail.com","","","","","",""
"30","2019-10-21T00:48:18.569Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","clin@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"30","2019-10-21T00:48:18.825Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","clin@gmail.com","","","","","",""
"30","2019-10-21T00:48:59.622Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"40","2019-10-21T01:01:21.979Z","vleno","Excel","copyCell","","rlampen@gmail.com","StudentRecords.xlsx","Sheet1","E41","","","","","rlampen@gmail.com","","","","","",""
"40","2019-10-21T01:01:24.730Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","rlampen@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"40","2019-10-21T01:01:25.042Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","rlampen@gmail.com","","","","","",""
"40","2019-10-21T01:02:20.728Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"50","2019-10-21T01:13:35.728Z","vleno","Excel","copyCell","","lmichalska@gmail.com","StudentRecords.xlsx","Sheet1","E51","","","","","lmichalska@gmail.com","","","","","",""
"50","2019-10-21T01:13:37.201Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","lmichalska@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"50","2019-10-21T01:13:37.458Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","lmichalska@gmail.com","","","","","",""
"50","2019-10-21T01:14:16.018Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"11","2019-10-21T00:24:39.424Z","vleno","Excel","copyCell","","odunkan@gmail.com","StudentRecords.xlsx","Sheet1","E12","","","","","odunkan@gmail.com","","","","","",""
"11","2019-10-21T00:24:41.385Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","odunkan@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"11","2019-10-21T00:24:41.667Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","odunkan@gmail.com","","","","","",""
"11","2019-10-21T00:25:20.367Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"21","2019-10-21T00:36:39.706Z","vleno","Excel","copyCell","","agomez@gmail.com","StudentRecords.xlsx","Sheet1","E22","","","","","agomez@gmail.com","","","","","",""
"21","2019-10-21T00:36:48.147Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","agomez@gmail.com","","","","","INPUT","text","Email","","","","","","",""
