"caseID","timeStamp","userID","targetApp","eventType","url","content","target.workbookName","target.sheetName","target.id","target.class","target.tagName","target.type","target.name","target.value","target.innerText","target.checked","target.href","target.option","target.title","target.innerHTML"
"1","2019-10-21T00:10:23.120Z","vleno","Excel","copyCell","","11/03/1986","StudentRecords.xlsx","Sheet1","C2","","","","","11/03/1986","","","","","",""
"1","2019-10-21T00:10:27.297Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","11/03/1986","","","Date-date","","INPUT","text","date","","","","","","",""
"1","2019-10-21T00:10:31.091Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","Date-date","","INPUT","text","date","11-03-1986","","","","","",""
"1","2019-10-21T00:11:37.513Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"2","2019-10-21T00:12:23.095Z","vleno","Excel","copyCell","","11/04/1986","StudentRecords.xlsx","Sheet1","C3","","","","","11/04/1986","","","","","",""
"2","2019-10-21T00:12:25.121Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","11/04/1986","","","Date-date","","INPUT","text","date","","","","","","",""
"2","2019-10-21T00:12:28.910Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","Date-date","","INPUT","text","date","11-04-1986","","","","","",""
"2","2019-10-21T00:13:29.824Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"3","2019-10-21T00:13:49.614Z","vleno","Excel","copyCell","","18/06/1986","StudentRecords.xlsx","Sheet1","C4","","","","","18/06/1986","","","","","",""
"3","2019-10-21T00:13:51.201Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","18/06/1986","","","Date-date","","INPUT","text","date","","","","","","",""
"3","2019-10-21T00:13:54.761Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","Date-date","","INPUT","text","date","18-06-1986","","","","","",""
"3","2019-10-21T00:15:07.071Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"4","2019-10-21T00:15:24.484Z","vleno","Excel","copyCell","","08/04/1987","StudentRecords.xlsx","Sheet1","C5","","","","","08/04/1987","","","","","",""
"4","2019-10-21T00:15:26.185Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","08/04/1987","","","Date-date","","INPUT","text","date","","","","","","",""
