"caseID","timeStamp","userID","targetApp","eventType","url","content","target.workbookName","target.sheetName","target.id","target.class","target.tagName","target.type","target.name","target.value","target.innerText","target.checked","target.href","target.option","target.title","target.innerHTML"
"1","2019-10-21T00:10:53.761Z","vleno","Excel","copyCell","","Australia","StudentRecords.xlsx","Sheet1","F2","","","","","Australia","","","","","",""
"1","2019-10-21T00:10:56.728Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Australia","","","","","INPUT","text","SingleLine1","","","","","","",""
"1","2019-10-21T00:10:57.177Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Australia","","","","","",""
"1","2019-10-21T00:11:37.513Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"2","2019-10-21T00:12:53.102Z","vleno","Excel","copyCell","","Germany","StudentRecords.xlsx","Sheet1","F3","","","","","Germany","","","","","",""
"2","2019-10-21T00:12:55.584Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Germany","","","","","INPUT","text","SingleLine1","","","","","","",""
"2","2019-10-21T00:12:56.025Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Germany","","","","","",""
"2","2019-10-21T00:13:29.824Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"3","2019-10-21T00:14:08.155Z","vleno","Excel","copyCell","","Australia","StudentRecords.xlsx","Sheet1","F4","","","","","Australia","","","","","",""
"3","2019-10-21T00:14:09.777Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Australia","","","","","INPUT","text","SingleLine1","","","","","","",""
"3","2019-10-21T00:14:10.121Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Australia","","","","","",""
"3","2019-10-21T00:15:07.071Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"4","2019-10-21T00:15:49.267Z","vleno","Excel","copyCell","","France","StudentRecords.xlsx","Sheet1","F5","","","","","France","","","","","",""
"4","2019-10-21T00:15:52.472Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","France","","","","","INPUT","text","SingleLine1","","","","","","",""
"4","2019-10-21T00:15:52.961Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","France","","","","","",""
"4","2019-10-21T00:16:25.322Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"5","2019-10-21T00:17:04.092Z","vleno","Excel","copyCell","","United States","StudentRecords.xlsx","Sheet1","F6","","","","","United States","","","","","",""
"5","2019-10-21T00:17:06.897Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","United States","","","","","INPUT","text","SingleLine1","","","","","","",""
"5","2019-10-21T00:17:07.265Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","United States","","","","","",""
"5","2019-10-21T00:17:40.080Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"6","2019-10-21T00:18:22.216Z","vleno","Excel","copyCell","","Sweden","StudentRecords.xlsx","Sheet1","F7","","","","","Sweden","","","","","",""
"6","2019-10-21T00:18:23.800Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Sweden","","","","","INPUT","text","SingleLine1","","","","","","",""
"6","2019-10-21T00:18:24.193Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Sweden","","","","","",""
"6","2019-10-21T00:18:53.930Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"7","2019-10-21T00:19:31.702Z","vleno","Excel","copyCell","","Australia","StudentRecords.xlsx","Sheet1","F8","","","","","Australia","","","","","",""
"7","2019-10-21T00:19:33.530Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Australia","","","","","INPUT","text","SingleLine1","","","","","","",""
"7","2019-10-21T00:19:33.801Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Australia","","","","","",""
"7","2019-10-21T00:20:04.147Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"8","2019-10-21T00:20:42.358Z","vleno","Excel","copyCell","","Italy","StudentRecords.xlsx","Sheet1","F9","","","","","Italy","","","","","",""
"8","2019-10-21T00:20:44.169Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Italy","","","","","INPUT","text","SingleLine1","","","","","","",""
"8","2019-10-21T00:20:44.433Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Italy","","","","","",""
"8","2019-10-21T00:21:17.165Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"9","2019-10-21T00:21:59.033Z","vleno","Excel","copyCell","","Germany","StudentRecords.xlsx","Sheet1","F10","","","","","Germany","","","","","",""
"9","2019-10-21T00:22:02.600Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Germany","","","","","INPUT","text","SingleLine1","","","","","","",""
"9","2019-10-21T00:22:03.048Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Germany","","","","","",""
"9","2019-10-21T00:22:44.002Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"10","2019-10-21T00:23:24.898Z","vleno","Excel","copyCell","","Ukraine","StudentRecords.xlsx","Sheet1","F11","","","","","Ukraine","","","","","",""
"10","2019-10-21T00:23:27.177Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Ukraine","","","","","INPUT","text","SingleLine1","","","","","","",""
"10","2019-10-21T00:23:27.569Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Ukraine","","","","","",""
"10","2019-10-21T00:24:03.341Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"20","2019-10-21T00:35:32.142Z","vleno","Excel","copyCell","","Australia","StudentRecords.xlsx","Sheet1","F21","","","","","Australia","","","","","",""
"20","2019-10-21T00:35:34.137Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Australia","","","","","INPUT","text","SingleLine1","","","","","","",""
"20","2019-10-21T00:35:34.425Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Australia","","","","","",""
"20","2019-10-21T00:36:01.106Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"30","2019-10-21T00:48:26.210Z","vleno","Excel","copyCell","","China","StudentRecords.xlsx","Sheet1","F31","","","","","China","","","","","",""
"30","2019-10-21T00:48:29.897Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","China","","","","","INPUT","text","SingleLine1","","","","","","",""
"30","2019-10-21T00:48:36.497Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","China","","","","","",""
"30","2019-10-21T00:48:59.622Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"40","2019-10-21T01:01:26.953Z","vleno","Excel","copyCell","","Finland","StudentRecords.xlsx","Sheet1","F41","","","","","Finland","","","","","",""
"40","2019-10-21T01:01:28.387Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Finland","","","","","INPUT","text","SingleLine1","","","","","","",""
"40","2019-10-21T01:01:28.633Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Finland","","","","","",""
"40","2019-10-21T01:02:20.728Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"50","2019-10-21T01:13:39.844Z","vleno","Excel","copyCell","","Poland","StudentRecords.xlsx","Sheet1","F51","","","","","Poland","","","","","",""
"50","2019-10-21T01:13:41.458Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Poland","","","","","INPUT","text","SingleLine1","","","","","","",""
"50","2019-10-21T01:13:41.714Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Poland","","","","","",""
"50","2019-10-21T01:14:16.018Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"11","2019-10-21T00:24:43.808Z","vleno","Excel","copyCell","","Ireland","StudentRecords.xlsx","Sheet1","F12","","","","","Ireland","","","","","",""
"11","2019-10-21T00:24:46.138Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Ireland","","","","","INPUT","text","SingleLine1","","","","","","",""
"11","2019-10-21T00:24:46.465Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Ireland","","","","","",""
"11","2019-10-21T00:25:20.367Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"21","2019-10-21T00:36:50.908Z","vleno","Excel","copyCell","","Portugal","StudentRecords.xlsx","Sheet1","F22","","","","","Portugal","","","","","",""
