"caseID","timeStamp","userID","targetApp","eventType","url","content","target.workbookName","target.sheetName","target.id","target.class","target.tagName","target.type","target.name","target.value","target.innerText","target.checked","target.href","target.option","target.title","target.innerHTML"
"1","2019-10-21T00:10:59.668Z","vleno","Excel","copyCell","","122 Albert St, Port Melbourne, VIC 3207, Australia","StudentRecords.xlsx","Sheet1","G2","","","","","122 Albert St, Port Melbourne, VIC 3207, Australia","","","","","",""
"1","2019-10-21T00:11:02.073Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","122 Albert St, Port Melbourne, VIC 3207, Australia","","","","","INPUT","text","Address_AddressLine1","","","","","","",""
"1","2019-10-21T00:11:06.033Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Address_AddressLine1","122 Albert St","","","","","",""
"1","2019-10-21T00:11:07.161Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","122 Albert St, Port Melbourne, VIC 3207, Australia","","","","","INPUT","text","Address_City","","","","","","",""
"1","2019-10-21T00:11:12.936Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Address_City","Port Melbourne","","","","","",""
"1","2019-10-21T00:11:15.192Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","122 Albert St, Port Melbourne, VIC 3207, Australia","","","","","INPUT","text","Address_Region","","","","","","",""
"1","2019-10-21T00:11:20.089Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Address_Region","VIC","","","","","",""
"1","2019-10-21T00:11:21.456Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","122 Albert St, Port Melbourne, VIC 3207, Australia","","","","","INPUT","text","Address_ZipCode","","","","","","",""
"1","2019-10-21T00:11:27.689Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Address_ZipCode","3207","","","","","",""
"1","2019-10-21T00:11:37.513Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
