timeStamp;userID;targetApp;eventType;url;content;target.workbookName;target.sheetName;target.id;target.class;target.tagName;target.type;target.name;target.value;target.innerText;target.checked;target.href;target.option
2019-03-20T04:36:59.755Z;vleno;Chrome;tab activated;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM;;;;;NA;;;;;;;;NA
2019-03-20T04:36:59.764Z;vleno;Chrome;focus window changed;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM;;;;;NA;;;;;;;;NA
2019-03-20T04:37:00.194Z;vleno;Chrome;start_page;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM;;;;;NA;;;;;;;;NA
2019-03-20T04:38:00.676Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;A2;NA;;;;John Doe;;;;NA
2019-03-20T04:38:01.954Z;;OS-Clipboard;copy;;John Doe;;;;NA;;;;;;;;NA
2019-03-20T04:38:04.382Z;vleno;Chrome;focus window changed;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM;;;;;NA;;;;;;;;NA
2019-03-20T04:38:04.466Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Name_First;;;;;NA
2019-03-20T04:38:04.770Z;vleno;Chrome;paste;;John Doe;;;;NA;INPUT;text;Name_First;;;;;NA
2019-03-20T04:38:06.498Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Name_First;John;;;;NA
2019-03-20T04:38:06.585Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Name_Last;;;;;NA
2019-03-20T04:38:07.018Z;vleno;Chrome;paste;;John Doe;;;;NA;INPUT;text;Name_Last;;;;;NA
2019-03-20T04:38:08.850Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Name_Last;Doe;;;;NA
